
================================================================================
MÉTRICAS DE CENTRALIDADE DA REDE
================================================================================
Vértice    Grau         Intermediação   Proximidade     PageRank    
507        0.0036       0.0000          1.0000          0.0016      
131        0.0053       0.0000          0.0000          0.0015      
378        0.0053       0.0000          0.0000          0.0015      
270        0.0053       0.0000          0.0000          0.0015      
31         0.0071       0.0000          1.0000          0.0015      
70         0.0053       0.0000          0.0000          0.0015      
82         0.0089       0.0002          0.4545          0.0015      
220        0.0053       0.0000          0.0000          0.0015      
354        0.0053       0.0000          0.0000          0.0015      
426        0.0071       0.0000          1.0000          0.0015      
542        0.0160       0.0003          0.4821          0.0015      
555        0.0053       0.0000          0.0000          0.0015      
395        0.0053       0.0000          0.0000          0.0015      
287        0.0018       0.0000          0.0000          0.0015      
14         0.0036       0.0000          0.0000          0.0015      
211        0.0036       0.0000          0.0000          0.0015      
280        0.0036       0.0000          0.0000          0.0015      
353        0.0036       0.0000          0.0000          0.0015      
394        0.0036       0.0000          0.0000          0.0015      
146        0.0036       0.0000          0.0000          0.0015      
377        0.0036       0.0000          0.0000          0.0015      
501        0.0036       0.0000          0.0000          0.0015      
527        0.0036       0.0000          0.0000          0.0015      
424        0.0071       0.0000          0.0000          0.0015      
79         0.0018       0.0000          0.0000          0.0014      
490        0.0053       0.0000          0.0000          0.0014      
37         0.0036       0.0000          0.0000          0.0014      
293        0.0053       0.0000          0.0000          0.0014      
312        0.0071       0.0000          0.3393          0.0014      
41         0.0036       0.0000          0.0000          0.0014      
84         0.0071       0.0003          1.0000          0.0014      
239        0.0053       0.0000          0.3300          0.0014      
345        0.0053       0.0000          0.4758          0.0014      
475        0.0036       0.0000          0.0000          0.0014      
210        0.0053       0.0000          0.0000          0.0014      
314        0.0071       0.0000          1.0000          0.0014      
105        0.0036       0.0000          0.0000          0.0014      
113        0.0036       0.0000          0.0000          0.0014      
358        0.0036       0.0000          0.0000          0.0014      
392        0.0053       0.0000          0.3230          0.0014      
503        0.0036       0.0000          0.0000          0.0014      
338        0.0018       0.0000          0.0000          0.0014      
455        0.0018       0.0000          0.0000          0.0014      
556        0.0018       0.0000          0.0000          0.0014      
315        0.0089       0.0000          1.0000          0.0013      
292        0.0160       0.0000          0.4783          0.0013      
319        0.0071       0.0000          0.0000          0.0013      
367        0.0071       0.0000          0.0000          0.0013      
234        0.0053       0.0000          0.0000          0.0013      
2          0.0053       0.0000          0.0000          0.0013      
5          0.0053       0.0000          0.0000          0.0013      
259        0.0053       0.0000          0.0000          0.0013      
434        0.0053       0.0000          0.0000          0.0013      
509        0.0053       0.0000          0.0000          0.0013      
39         0.0018       0.0000          0.0000          0.0013      
498        0.0036       0.0000          0.0000          0.0013      
225        0.0107       0.0011          0.4770          0.0013      
241        0.0053       0.0000          0.0000          0.0013      
261        0.0053       0.0000          0.0000          0.0013      
268        0.0053       0.0000          0.0000          0.0013      
281        0.0071       0.0000          0.6667          0.0013      
348        0.0053       0.0000          0.0000          0.0013      
547        0.0053       0.0000          0.0000          0.0013      
313        0.0036       0.0000          0.0000          0.0013      
110        0.0036       0.0000          0.0000          0.0013      
235        0.0036       0.0000          0.0000          0.0013      
263        0.0053       0.0001          0.3393          0.0013      
402        0.0036       0.0000          0.0000          0.0013      
419        0.0053       0.0010          0.4758          0.0013      
440        0.0036       0.0000          0.0000          0.0013      
257        0.0018       0.0000          0.0000          0.0013      
297        0.0018       0.0000          0.0000          0.0013      
371        0.0053       0.0000          0.0000          0.0012      
33         0.0036       0.0000          0.0000          0.0012      
121        0.0036       0.0000          0.0000          0.0012      
157        0.0053       0.0000          1.0000          0.0012      
203        0.0036       0.0000          0.0000          0.0012      
361        0.0036       0.0000          0.0000          0.0012      
488        0.0036       0.0000          0.0000          0.0012      
530        0.0036       0.0000          0.0000          0.0012      
6          0.0036       0.0000          0.0000          0.0012      
25         0.0036       0.0000          0.0000          0.0012      
29         0.0036       0.0000          0.0000          0.0012      
40         0.0036       0.0000          0.0000          0.0012      
46         0.0036       0.0000          0.0000          0.0012      
49         0.0036       0.0000          0.0000          0.0012      
52         0.0036       0.0000          0.0000          0.0012      
56         0.0053       0.0000          1.0000          0.0012      
62         0.0036       0.0000          0.0000          0.0012      
87         0.0036       0.0000          0.0000          0.0012      
88         0.0036       0.0000          0.0000          0.0012      
93         0.0036       0.0000          0.0000          0.0012      
115        0.0036       0.0000          0.0000          0.0012      
117        0.0036       0.0000          0.0000          0.0012      
118        0.0053       0.0000          1.0000          0.0012      
136        0.0036       0.0000          0.0000          0.0012      
141        0.0053       0.0000          0.6667          0.0012      
194        0.0053       0.0000          1.0000          0.0012      
226        0.0036       0.0000          0.0000          0.0012      
306        0.0036       0.0000          0.0000          0.0012      
324        0.0036       0.0000          0.0000          0.0012      
330        0.0036       0.0000          0.0000          0.0012      
332        0.0036       0.0000          0.0000          0.0012      
383        0.0071       0.0003          1.0000          0.0012      
436        0.0036       0.0000          0.0000          0.0012      
437        0.0036       0.0000          0.0000          0.0012      
439        0.0071       0.0001          1.0000          0.0012      
461        0.0053       0.0000          0.3294          0.0012      
508        0.0053       0.0000          1.0000          0.0012      
543        0.0053       0.0000          0.4758          0.0012      
544        0.0036       0.0000          0.0000          0.0012      
554        0.0036       0.0000          0.0000          0.0012      
0          0.0018       0.0000          0.0000          0.0012      
1          0.0018       0.0000          0.0000          0.0012      
3          0.0018       0.0000          0.0000          0.0012      
4          0.0018       0.0000          0.0000          0.0012      
8          0.0018       0.0000          0.0000          0.0012      
11         0.0018       0.0000          0.0000          0.0012      
15         0.0018       0.0000          0.0000          0.0012      
16         0.0018       0.0000          0.0000          0.0012      
30         0.0018       0.0000          0.0000          0.0012      
38         0.0018       0.0000          0.0000          0.0012      
43         0.0036       0.0000          1.0000          0.0012      
53         0.0018       0.0000          0.0000          0.0012      
54         0.0036       0.0000          0.5000          0.0012      
55         0.0018       0.0000          0.0000          0.0012      
61         0.0018       0.0000          0.0000          0.0012      
63         0.0018       0.0000          0.0000          0.0012      
81         0.0018       0.0000          0.0000          0.0012      
90         0.0018       0.0000          0.0000          0.0012      
92         0.0018       0.0000          0.0000          0.0012      
97         0.0018       0.0000          0.0000          0.0012      
100        0.0018       0.0000          0.0000          0.0012      
112        0.0018       0.0000          0.0000          0.0012      
127        0.0018       0.0000          0.0000          0.0012      
129        0.0036       0.0000          1.0000          0.0012      
133        0.0018       0.0000          0.0000          0.0012      
135        0.0018       0.0000          0.0000          0.0012      
151        0.0018       0.0000          0.0000          0.0012      
152        0.0018       0.0000          0.0000          0.0012      
163        0.0018       0.0000          0.0000          0.0012      
168        0.0036       0.0000          0.3241          0.0012      
174        0.0018       0.0000          0.0000          0.0012      
178        0.0018       0.0000          0.0000          0.0012      
181        0.0018       0.0000          0.0000          0.0012      
182        0.0018       0.0000          0.0000          0.0012      
192        0.0018       0.0000          0.0000          0.0012      
195        0.0018       0.0000          0.0000          0.0012      
201        0.0018       0.0000          0.0000          0.0012      
205        0.0018       0.0000          0.0000          0.0012      
212        0.0018       0.0000          0.0000          0.0012      
214        0.0018       0.0000          0.0000          0.0012      
218        0.0018       0.0000          0.0000          0.0012      
237        0.0018       0.0000          0.0000          0.0012      
245        0.0018       0.0000          0.0000          0.0012      
249        0.0018       0.0000          0.0000          0.0012      
250        0.0018       0.0000          0.0000          0.0012      
254        0.0018       0.0000          0.0000          0.0012      
260        0.0018       0.0000          0.0000          0.0012      
273        0.0018       0.0000          0.0000          0.0012      
276        0.0018       0.0000          0.0000          0.0012      
282        0.0018       0.0000          0.0000          0.0012      
285        0.0018       0.0000          0.0000          0.0012      
294        0.0018       0.0000          0.0000          0.0012      
302        0.0018       0.0000          0.0000          0.0012      
305        0.0018       0.0000          0.0000          0.0012      
308        0.0018       0.0000          0.0000          0.0012      
322        0.0018       0.0000          0.0000          0.0012      
323        0.0036       0.0000          0.4758          0.0012      
325        0.0018       0.0000          0.0000          0.0012      
326        0.0018       0.0000          0.0000          0.0012      
331        0.0018       0.0000          0.0000          0.0012      
339        0.0018       0.0000          0.0000          0.0012      
351        0.0036       0.0000          0.3393          0.0012      
356        0.0018       0.0000          0.0000          0.0012      
357        0.0018       0.0000          0.0000          0.0012      
359        0.0018       0.0000          0.0000          0.0012      
360        0.0036       0.0000          0.4000          0.0012      
363        0.0018       0.0000          0.0000          0.0012      
365        0.0018       0.0000          0.0000          0.0012      
366        0.0018       0.0000          0.0000          0.0012      
370        0.0018       0.0000          0.0000          0.0012      
382        0.0018       0.0000          0.0000          0.0012      
385        0.0018       0.0000          0.0000          0.0012      
391        0.0018       0.0000          0.0000          0.0012      
398        0.0018       0.0000          0.0000          0.0012      
401        0.0018       0.0000          0.0000          0.0012      
403        0.0018       0.0000          0.0000          0.0012      
411        0.0018       0.0000          0.0000          0.0012      
412        0.0018       0.0000          0.0000          0.0012      
421        0.0018       0.0000          0.0000          0.0012      
422        0.0018       0.0000          0.0000          0.0012      
427        0.0018       0.0000          0.0000          0.0012      
433        0.0089       0.0000          1.0000          0.0012      
464        0.0036       0.0000          1.0000          0.0012      
467        0.0018       0.0000          0.0000          0.0012      
471        0.0018       0.0000          0.0000          0.0012      
480        0.0018       0.0000          0.0000          0.0012      
483        0.0036       0.0000          0.4758          0.0012      
486        0.0036       0.0000          0.4758          0.0012      
492        0.0018       0.0000          0.0000          0.0012      
493        0.0018       0.0000          0.0000          0.0012      
494        0.0071       0.0003          1.0000          0.0012      
519        0.0018       0.0000          0.0000          0.0012      
524        0.0018       0.0000          0.0000          0.0012      
526        0.0018       0.0000          0.0000          0.0012      
533        0.0018       0.0000          0.0000          0.0012      
534        0.0018       0.0000          0.0000          0.0012      
535        0.0036       0.0000          1.0000          0.0012      
536        0.0018       0.0000          0.0000          0.0012      
539        0.0018       0.0000          0.0000          0.0012      
541        0.0018       0.0000          0.0000          0.0012      
545        0.0018       0.0000          0.0000          0.0012      
548        0.0018       0.0000          0.0000          0.0012      
549        0.0018       0.0000          0.0000          0.0012      
551        0.0018       0.0000          0.0000          0.0012      
552        0.0018       0.0000          0.0000          0.0012      
557        0.0018       0.0000          0.0000          0.0012      
559        0.0018       0.0000          0.0000          0.0012      
562        0.0018       0.0000          0.0000          0.0012      
528        0.0036       0.0000          0.0000          0.0012      
137        0.0036       0.0000          0.0000          0.0012      
215        0.0036       0.0000          0.0000          0.0012      
253        0.0036       0.0000          0.0000          0.0012      
335        0.0036       0.0000          0.0000          0.0012      
346        0.0036       0.0000          0.0000          0.0012      
21         0.0053       0.0011          0.4770          0.0012      
36         0.0018       0.0000          0.0000          0.0012      
73         0.0018       0.0000          0.0000          0.0012      
128        0.0036       0.0000          0.2502          0.0012      
207        0.0018       0.0000          0.0000          0.0012      
251        0.0018       0.0000          0.0000          0.0012      
318        0.0036       0.0000          1.0000          0.0012      
442        0.0018       0.0000          0.0000          0.0012      
12         0.0018       0.0000          0.0000          0.0011      
26         0.0018       0.0000          0.0000          0.0011      
71         0.0018       0.0000          0.0000          0.0011      
72         0.0018       0.0000          0.0000          0.0011      
83         0.0018       0.0000          0.0000          0.0011      
148        0.0018       0.0000          0.0000          0.0011      
150        0.0018       0.0000          0.0000          0.0011      
189        0.0018       0.0000          0.0000          0.0011      
208        0.0018       0.0000          0.0000          0.0011      
246        0.0018       0.0000          0.0000          0.0011      
278        0.0018       0.0000          0.0000          0.0011      
